Name,Team,Oppt,week,Points_FD,Salary_FD,Points_DK,Salary_DK,Points_YH,Salary_YH,logo,last_name,first_name,season,position,depth_chart_position,jersey_number,status,full_name,birth_date,height,weight,college,high_school,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,fantasy_data_id,sleeper_id,update_dt,headshot_url,headshot_url2,name,Team.y,logo_def,game_id,posteam,receiver_player_name,nopass,noplays,touchdown,yards_gained,yards_passing,interception,sack,qb_hits,incomplete_pass,complete_pass,yards_receiving,touchdown_pass,yards_after_catch,air_yards,air_yards2,epa
"Adams, Davante",GNB,IND,11,20.1,9500,26.6,8600,20.1,38,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png' height='12'></img>,Adams,Davante,2020,WR,LWR,17,Active,Davante Adams,1992-12-24,6-1,215,Fresno State,Palo Alto (CA),00-0031381,16800,e7d6ae25-bf15-4660-8b37-c37716551de3,27581,9455,8688,16470,2133,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png' height='20'></img>,"Adams, Davante","",<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png' height='12'></img>,2020_11_GB_IND,GNB,D.Adams,9,9,1,106,106,0,0,0,2,7,106,1,33,86,73,5.16273426988149
"Adams, Davante",GNB,MIN,1,34.6,8000,44.6,7300,34.6,32,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png' height='12'></img>,Adams,Davante,2020,WR,LWR,17,Active,Davante Adams,1992-12-24,6-1,215,Fresno State,Palo Alto (CA),00-0031381,16800,e7d6ae25-bf15-4660-8b37-c37716551de3,27581,9455,8688,16470,2133,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png' height='20'></img>,"Adams, Davante","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png' height='12'></img>,2020_01_GB_MIN,GNB,D.Adams,17,17,2,156,156,0,0,2,3,14,156,2,43,163,113,7.1580892499187
"Adams, Davante",GNB,SFO,9,28.3,9400,36.3,8400,28.3,37,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png' height='12'></img>,Adams,Davante,2020,WR,LWR,17,Active,Davante Adams,1992-12-24,6-1,215,Fresno State,Palo Alto (CA),00-0031381,16800,e7d6ae25-bf15-4660-8b37-c37716551de3,27581,9455,8688,16470,2133,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png' height='20'></img>,"Adams, Davante","",<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/San_Francisco_49ers_logo.svg/100px-San_Francisco_49ers_logo.svg.png' height='12'></img>,2020_09_GB_SF,GNB,D.Adams,12,12,1,173,173,0,0,0,2,10,173,1,63,157,110,15.6127830123878
"Adams, Davante",GNB,TAM,6,9.1,9000,12.1,8000,9.1,36,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png' height='12'></img>,Adams,Davante,2020,WR,LWR,17,Active,Davante Adams,1992-12-24,6-1,215,Fresno State,Palo Alto (CA),00-0031381,16800,e7d6ae25-bf15-4660-8b37-c37716551de3,27581,9455,8688,16470,2133,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png' height='20'></img>,"Adams, Davante","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Tampa_Bay_Buccaneers_logo.svg/100px-Tampa_Bay_Buccaneers_logo.svg.png' height='12'></img>,2020_06_GB_TB,GNB,D.Adams,10,10,1,61,61,2,0,0,2,6,61,0,22,77,39,-7.46204317148658
"Agholor, Nelson",LVR,BUF,4,12.4,4700,14.4,3500,12.4,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png' height='12'></img>,Agholor,Nelson,2020,WR,RWR,15,Active,Nelson Agholor,1993-05-24,6-0,198,Southern California,Berkeley Prep (FL),00-0031549,2971618,cfb0ff68-51cb-4dad-ba81-f9e019a93a91,28408,10132,9453,16781,2325,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png' height='20'></img>,"Agholor, Nelson","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png' height='12'></img>,2020_04_BUF_LV,LVR,N.Agholor,4,4,1,44,44,0,0,0,0,4,44,1,2,42,42,8.05844754457939
"Agholor, Nelson",LVR,DEN,10,1.3,5100,1.8,4900,1.3,16,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png' height='12'></img>,Agholor,Nelson,2020,WR,RWR,15,Active,Nelson Agholor,1993-05-24,6-0,198,Southern California,Berkeley Prep (FL),00-0031549,2971618,cfb0ff68-51cb-4dad-ba81-f9e019a93a91,28408,10132,9453,16781,2325,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png' height='20'></img>,"Agholor, Nelson","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png' height='12'></img>,2020_10_DEN_LV,LVR,N.Agholor,4,4,0,8,8,0,0,0,3,1,8,0,0,45,8,-1.15796066261828
"Agholor, Nelson",LVR,IND,14,18.5,5200,24,4700,18.5,15,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png' height='12'></img>,Agholor,Nelson,2020,WR,RWR,15,Active,Nelson Agholor,1993-05-24,6-0,198,Southern California,Berkeley Prep (FL),00-0031549,2971618,cfb0ff68-51cb-4dad-ba81-f9e019a93a91,28408,10132,9453,16781,2325,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png' height='20'></img>,"Agholor, Nelson","",<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png' height='12'></img>,2020_14_IND_LV,LVR,N.Agholor,9,9,1,100,100,0,0,1,4,5,100,1,20,131,80,4.39806044571134
"Agholor, Nelson",LVR,KAN,11,17.8,5300,20.8,4500,17.8,16,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png' height='12'></img>,Agholor,Nelson,2020,WR,RWR,15,Active,Nelson Agholor,1993-05-24,6-0,198,Southern California,Berkeley Prep (FL),00-0031549,2971618,cfb0ff68-51cb-4dad-ba81-f9e019a93a91,28408,10132,9453,16781,2325,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png' height='20'></img>,"Agholor, Nelson","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Kansas_City_Chiefs_logo.svg/100px-Kansas_City_Chiefs_logo.svg.png' height='12'></img>,2020_11_KC_LV,LVR,N.Agholor,9,9,1,88,88,1,0,0,2,6,88,1,29,141,59,4.01731974986615
"Agholor, Nelson",LVR,LAC,15,6.9,5600,8.9,5000,6.9,16,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png' height='12'></img>,Agholor,Nelson,2020,WR,RWR,15,Active,Nelson Agholor,1993-05-24,6-0,198,Southern California,Berkeley Prep (FL),00-0031549,2971618,cfb0ff68-51cb-4dad-ba81-f9e019a93a91,28408,10132,9453,16781,2325,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png' height='20'></img>,"Agholor, Nelson","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png' height='12'></img>,2020_15_LAC_LV,LVR,N.Agholor,8,8,0,49,49,0,0,0,4,4,49,0,20,92,29,3.64137734618271
"Agholor, Nelson",LVR,MIA,16,24,5900,29.5,4500,24,18,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png' height='12'></img>,Agholor,Nelson,2020,WR,RWR,15,Active,Nelson Agholor,1993-05-24,6-0,198,Southern California,Berkeley Prep (FL),00-0031549,2971618,cfb0ff68-51cb-4dad-ba81-f9e019a93a91,28408,10132,9453,16781,2325,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png' height='20'></img>,"Agholor, Nelson","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png' height='12'></img>,2020_16_MIA_LV,LVR,N.Agholor,6,6,1,155,155,0,0,1,1,5,155,1,60,118,95,9.50590439443476
"Agholor, Nelson",LVR,NOR,2,2.4,4900,2.9,4000,2.4,13,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png' height='12'></img>,Agholor,Nelson,2020,WR,RWR,15,Active,Nelson Agholor,1993-05-24,6-0,198,Southern California,Berkeley Prep (FL),00-0031549,2971618,cfb0ff68-51cb-4dad-ba81-f9e019a93a91,28408,10132,9453,16781,2325,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png' height='20'></img>,"Agholor, Nelson","",<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/New_Orleans_Saints_logo.svg/98px-New_Orleans_Saints_logo.svg.png' height='12'></img>,2020_02_NO_LV,LVR,N.Agholor,1,1,0,19,19,0,0,0,0,1,19,0,17,2,2,1.88020387350116
"Agholor, Nelson",LVR,TAM,7,19.2,4900,24.7,3900,19.2,12,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png' height='12'></img>,Agholor,Nelson,2020,WR,RWR,15,Active,Nelson Agholor,1993-05-24,6-0,198,Southern California,Berkeley Prep (FL),00-0031549,2971618,cfb0ff68-51cb-4dad-ba81-f9e019a93a91,28408,10132,9453,16781,2325,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png' height='20'></img>,"Agholor, Nelson","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Tampa_Bay_Buccaneers_logo.svg/100px-Tampa_Bay_Buccaneers_logo.svg.png' height='12'></img>,2020_07_TB_LV,LVR,N.Agholor,9,9,1,107,107,1,0,1,3,5,107,1,14,141,93,-0.487503331794869
"Agholor, Nelson",LVR,ATL,12,7.9,5200,10.4,4900,7.9,17,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png' height='12'></img>,Agholor,Nelson,2020,WR,RWR,15,Active,Nelson Agholor,1993-05-24,6-0,198,Southern California,Berkeley Prep (FL),00-0031549,2971618,cfb0ff68-51cb-4dad-ba81-f9e019a93a91,28408,10132,9453,16781,2325,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png' height='20'></img>,"Agholor, Nelson","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/192px-Atlanta_Falcons_logo.svg.png' height='12'></img>,2020_12_LV_ATL,LVR,N.Agholor,6,6,0,54,54,0,0,0,1,5,54,0,12,54,42,2.4368705037632
"Agholor, Nelson",LVR,CAR,1,8.8,4900,9.3,3800,8.8,11,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png' height='12'></img>,Agholor,Nelson,2020,WR,RWR,15,Active,Nelson Agholor,1993-05-24,6-0,198,Southern California,Berkeley Prep (FL),00-0031549,2971618,cfb0ff68-51cb-4dad-ba81-f9e019a93a91,28408,10132,9453,16781,2325,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png' height='20'></img>,"Agholor, Nelson","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Carolina_Panthers_logo.svg/100px-Carolina_Panthers_logo.svg.png' height='12'></img>,2020_01_LV_CAR,LVR,N.Agholor,1,1,1,23,23,0,0,0,0,1,23,1,0,23,23,3.48417592199985
"Agholor, Nelson",LVR,CLE,8,0,5000,0,4700,0,17,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png' height='12'></img>,Agholor,Nelson,2020,WR,RWR,15,Active,Nelson Agholor,1993-05-24,6-0,198,Southern California,Berkeley Prep (FL),00-0031549,2971618,cfb0ff68-51cb-4dad-ba81-f9e019a93a91,28408,10132,9453,16781,2325,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png' height='20'></img>,"Agholor, Nelson","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Cleveland_Browns_logo.svg/100px-Cleveland_Browns_logo.svg.png' height='12'></img>,2020_08_LV_CLE,LVR,N.Agholor,2,2,0,0,0,0,0,0,2,0,0,0,0,11,0,-2.19359224820952
"Agholor, Nelson",LVR,DEN,17,6.2,5800,6.7,5400,6.2,19,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png' height='12'></img>,Agholor,Nelson,2020,WR,RWR,15,Active,Nelson Agholor,1993-05-24,6-0,198,Southern California,Berkeley Prep (FL),00-0031549,2971618,cfb0ff68-51cb-4dad-ba81-f9e019a93a91,28408,10132,9453,16781,2325,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2971618.png' height='20'></img>,"Agholor, Nelson","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png' height='12'></img>,2020_17_LV_DEN,LVR,N.Agholor,4,4,0,57,57,1,0,0,2,1,57,0,8,111,49,-4.13030120363692
