Name,Team,Oppt,week,Points_FD,Salary_FD,Points_DK,Salary_DK,Points_YH,Salary_YH,logo,last_name,first_name,season,position,depth_chart_position,jersey_number,status,full_name,birth_date,height,weight,college,high_school,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,fantasy_data_id,sleeper_id,update_dt,headshot_url,headshot_url2,name,Team.y,logo_def,game_id,posteam,passer_player_name,nopass,noplays,touchdown,yards_gained,yards_passing,interception,sack,qb_hits,incomplete_pass,complete_pass,yards_receiving,touchdown_pass,yards_after_catch,air_yards,air_yards2,epa
"Allen, Josh",BUF,PIT,14,19.32,8200,19.32,7100,19.32,33,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png' height='12'></img>,Allen,Josh,2020,QB,QB,17,Active,Josh Allen,1996-05-21,6-5,237,Wyoming,Firebaugh (CA),00-0034857,3918298,3069db07-aa43-4503-ab11-2ae5c0002721,30977,12483,46601,19801,4984,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png' height='20'></img>,"Allen, Josh","",<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png' height='12'></img>,2020_14_PIT_BUF,BUF,J.Allen,43,44,2,230,238,1,1,5,18,24,238,2,130,455,108,-4.27994507986812
"Allen, Josh",BUF,SEA,9,36,8200,39,7000,36,35,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png' height='12'></img>,Allen,Josh,2020,QB,QB,17,Active,Josh Allen,1996-05-21,6-5,237,Wyoming,Firebaugh (CA),00-0034857,3918298,3069db07-aa43-4503-ab11-2ae5c0002721,30977,12483,46601,19801,4984,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png' height='20'></img>,"Allen, Josh","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Seattle_Seahawks_logo.svg/100px-Seattle_Seahawks_logo.svg.png' height='12'></img>,2020_09_SEA_BUF,BUF,J.Allen,38,45,3,386,415,0,7,9,7,31,415,3,194,341,221,16.4707288941216
"Allen, Josh",BUF,ARI,10,28.86,8700,29.36,7500,28.86,39,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png' height='12'></img>,Allen,Josh,2020,QB,QB,17,Active,Josh Allen,1996-05-21,6-5,237,Wyoming,Firebaugh (CA),00-0034857,3918298,3069db07-aa43-4503-ab11-2ae5c0002721,30977,12483,46601,19801,4984,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png' height='20'></img>,"Allen, Josh","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png' height='12'></img>,2020_10_BUF_ARI,BUF,J.Allen,49,49,2,284,284,2,0,4,15,32,284,2,149,348,135,-0.554259731975739
"Allen, Josh",BUF,DEN,15,37.66,8400,40.66,7200,37.66,38,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png' height='12'></img>,Allen,Josh,2020,QB,QB,17,Active,Josh Allen,1996-05-21,6-5,237,Wyoming,Firebaugh (CA),00-0034857,3918298,3069db07-aa43-4503-ab11-2ae5c0002721,30977,12483,46601,19801,4984,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png' height='20'></img>,"Allen, Josh","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png' height='12'></img>,2020_15_BUF_DEN,BUF,J.Allen,40,41,2,352,359,0,1,5,12,28,359,2,118,404,241,25.6637711375661
"Allen, Josh",BUF,LVR,4,25.42,8600,25.42,7300,25.42,40,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png' height='12'></img>,Allen,Josh,2020,QB,QB,17,Active,Josh Allen,1996-05-21,6-5,237,Wyoming,Firebaugh (CA),00-0034857,3918298,3069db07-aa43-4503-ab11-2ae5c0002721,30977,12483,46601,19801,4984,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png' height='20'></img>,"Allen, Josh","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png' height='12'></img>,2020_04_BUF_LV,BUF,J.Allen,34,35,2,274,288,0,1,6,10,24,288,2,77,229,211,18.573673158527
"Allen, Josh",BUF,MIA,2,34.48,8200,37.48,6700,34.48,35,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png' height='12'></img>,Allen,Josh,2020,QB,QB,17,Active,Josh Allen,1996-05-21,6-5,237,Wyoming,Firebaugh (CA),00-0034857,3918298,3069db07-aa43-4503-ab11-2ae5c0002721,30977,12483,46601,19801,4984,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png' height='20'></img>,"Allen, Josh","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png' height='12'></img>,2020_02_BUF_MIA,BUF,J.Allen,35,36,4,411,415,0,1,3,11,24,415,4,154,362,261,23.4382543886055
"Allen, Josh",BUF,NWE,16,32.3,8800,35.3,7300,32.3,36,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png' height='12'></img>,Allen,Josh,2020,QB,QB,17,Active,Josh Allen,1996-05-21,6-5,237,Wyoming,Firebaugh (CA),00-0034857,3918298,3069db07-aa43-4503-ab11-2ae5c0002721,30977,12483,46601,19801,4984,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png' height='20'></img>,"Allen, Josh","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png' height='12'></img>,2020_16_BUF_NE,BUF,J.Allen,36,36,4,320,320,0,0,0,9,27,320,4,137,359,183,18.3745256103575
"Allen, Josh",BUF,NYJ,7,16.38,8800,20.38,7700,16.38,37,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png' height='12'></img>,Allen,Josh,2020,QB,QB,17,Active,Josh Allen,1996-05-21,6-5,237,Wyoming,Firebaugh (CA),00-0034857,3918298,3069db07-aa43-4503-ab11-2ae5c0002721,30977,12483,46601,19801,4984,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png' height='20'></img>,"Allen, Josh","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/100px-New_York_Jets_logo.svg.png' height='12'></img>,2020_07_BUF_NYJ,BUF,J.Allen,43,45,0,296,307,0,2,3,13,30,307,0,172,308,135,6.26283790342849
"Allen, Josh",BUF,TEN,5,18.32,8400,18.32,7500,18.32,37,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png' height='12'></img>,Allen,Josh,2020,QB,QB,17,Active,Josh Allen,1996-05-21,6-5,237,Wyoming,Firebaugh (CA),00-0034857,3918298,3069db07-aa43-4503-ab11-2ae5c0002721,30977,12483,46601,19801,4984,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png' height='20'></img>,"Allen, Josh","",<img src = 'https://raw.githubusercontent.com/guga31bb/nflfastR-data/master/titans.png' height='12'></img>,2020_05_BUF_TEN,BUF,J.Allen,41,42,2,253,263,2,1,3,13,26,263,2,67,388,196,3.35302110845103
"Allen, Kyle",WAS,DAL,7,16.86,6700,16.86,5200,16.86,22,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Washington_football_team_wlogo.svg/100px-Washington_football_team_wlogo.svg.png' height='12'></img>,Allen,Kyle,2020,QB,QB,8,Active,Kyle Allen,1996-03-08,6-3,211,Houston,Desert Mountain (AZ),00-0034577,3115293,d2023f5b-f73b-43ad-a816-f10dadfdfaed,31301,12623,26152,20053,5127,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3115293.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3115293.png' height='20'></img>,"Allen, Kyle","",<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dallas_Cowboys.svg/100px-Dallas_Cowboys.svg.png' height='12'></img>,2020_07_DAL_WAS,WAS,K.Allen,25,27,2,189,194,0,2,4,10,15,194,2,70,197,124,8.31866089528149
"Allen, Kyle",WAS,LAR,5,9.66,6000,9.66,4100,9.66,20,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Washington_football_team_wlogo.svg/100px-Washington_football_team_wlogo.svg.png' height='12'></img>,Allen,Kyle,2020,QB,QB,8,Active,Kyle Allen,1996-03-08,6-3,211,Houston,Desert Mountain (AZ),00-0034577,3115293,d2023f5b-f73b-43ad-a816-f10dadfdfaed,31301,12623,26152,20053,5127,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3115293.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3115293.png' height='20'></img>,"Allen, Kyle","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png' height='12'></img>,2020_05_LA_WAS,WAS,K.Allen,13,15,0,64,74,0,2,3,4,9,74,0,63,42,11,-2.87404883466661
"Allen, Kyle",WAS,NYG,9,2.48,6800,2.48,5300,2.48,23,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Washington_football_team_wlogo.svg/100px-Washington_football_team_wlogo.svg.png' height='12'></img>,Allen,Kyle,2020,QB,QB,8,Active,Kyle Allen,1996-03-08,6-3,211,Houston,Desert Mountain (AZ),00-0034577,3115293,d2023f5b-f73b-43ad-a816-f10dadfdfaed,31301,12623,26152,20053,5127,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3115293.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3115293.png' height='20'></img>,"Allen, Kyle","",<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/New_York_Giants_logo.svg/100px-New_York_Giants_logo.svg.png' height='12'></img>,2020_09_NYG_WAS,WAS,K.Allen,7,7,0,62,62,0,0,0,2,5,62,0,42,40,20,-1.66621190507431
"Allen, Kyle",WAS,NYG,6,17,6400,18,5100,17,20,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Washington_football_team_wlogo.svg/100px-Washington_football_team_wlogo.svg.png' height='12'></img>,Allen,Kyle,2020,QB,QB,8,Active,Kyle Allen,1996-03-08,6-3,211,Houston,Desert Mountain (AZ),00-0034577,3115293,d2023f5b-f73b-43ad-a816-f10dadfdfaed,31301,12623,26152,20053,5127,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3115293.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3115293.png' height='20'></img>,"Allen, Kyle","",<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/New_York_Giants_logo.svg/100px-New_York_Giants_logo.svg.png' height='12'></img>,2020_06_WAS_NYG,WAS,K.Allen,42,45,3,251,280,1,3,9,10,31,280,2,149,244,131,0.167755373307703
"Barkley, Matt",BUF,LAC,12,0,6100,0,4200,0,20,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png' height='12'></img>,Barkley,Matt,2020,QB,QB,5,Active,Matt Barkley,1990-09-08,6-2,234,Southern California,Mater Dei (CA),00-0030533,15948,da7cb0cc-543e-47d5-b29a-2ba2b341bd14,26721,8004,7880,14855,1338,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15948.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15948.png' height='20'></img>,"Barkley, Matt","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png' height='12'></img>,2020_12_LAC_BUF,BUF,M.Barkley,0,1,0,-7,0,0,1,1,0,0,0,0,0,0,0,-1.61598528426839
"Barkley, Matt",BUF,MIA,17,9.26,6400,9.26,4800,9.26,25,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png' height='12'></img>,Barkley,Matt,2020,QB,QB,5,Active,Matt Barkley,1990-09-08,6-2,234,Southern California,Mater Dei (CA),00-0030533,15948,da7cb0cc-543e-47d5-b29a-2ba2b341bd14,26721,8004,7880,14855,1338,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15948.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15948.png' height='20'></img>,"Barkley, Matt","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png' height='12'></img>,2020_17_MIA_BUF,BUF,M.Barkley,13,13,1,164,164,1,0,1,6,6,164,1,51,205,113,5.20974745595595
"Barkley, Matt",BUF,DEN,15,0,6100,0,4300,0,20,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png' height='12'></img>,Barkley,Matt,2020,QB,QB,5,Active,Matt Barkley,1990-09-08,6-2,234,Southern California,Mater Dei (CA),00-0030533,15948,da7cb0cc-543e-47d5-b29a-2ba2b341bd14,26721,8004,7880,14855,1338,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15948.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15948.png' height='20'></img>,"Barkley, Matt","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png' height='12'></img>,,,,,,,,,,,,,,,,,,,
"Barkley, Matt",BUF,NWE,16,0.14,6100,0.14,4100,0.14,20,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png' height='12'></img>,Barkley,Matt,2020,QB,QB,5,Active,Matt Barkley,1990-09-08,6-2,234,Southern California,Mater Dei (CA),00-0030533,15948,da7cb0cc-543e-47d5-b29a-2ba2b341bd14,26721,8004,7880,14855,1338,2021-02-27T07:11:01.619720Z,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15948.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15948.png' height='20'></img>,"Barkley, Matt","",<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png' height='12'></img>,2020_16_BUF_NE,BUF,M.Barkley,3,3,0,11,11,0,0,0,1,2,11,0,2,28,9,0.0730653356295079
